lat,lon,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3
-8.051383780487804,-34.95157136986302,-78.6998586320534,-78.6998586320534,-78.6998586320534,-76.86941224864208,-76.86941224864208,-76.86941224864208,-77.67118607153267,-77.67118607153267,-77.67118607153267
-8.051383780487804,-34.9513694520548,-78.72431348612636,-78.72431348612636,-78.72431348612636,-76.45428331911415,-76.45428331911415,-76.45428331911415,-78.00561197238693,-78.00561197238693,-78.00561197238693
-8.051383780487804,-34.95116753424658,-78.7579587490768,-78.7579587490768,-78.7579587490768,-76.0276947897813,-76.0276947897813,-76.0276947897813,-78.33527180510765,-78.33527180510765,-78.33527180510765
-8.051383780487804,-34.95096561643836,-78.80066816793058,-78.80066816793058,-78.80066816793058,-75.58903822165021,-75.58903822165021,-75.58903822165021,-78.66014376586708,-78.66014376586708,-78.66014376586708
-8.051383780487804,-34.95076369863014,-78.85228341223666,-78.85228341223666,-78.85228341223666,-75.13765999957556,-75.13765999957556,-75.13765999957556,-78.98022678105028,-78.98022678105028,-78.98022678105028
-8.051383780487804,-34.95056178082192,-78.91261599027015,-78.91261599027015,-78.91261599027015,-74.67285748644682,-74.67285748644682,-74.67285748644682,-79.29553714851437,-79.29553714851437,-79.29553714851437
-8.051383780487804,-34.9503598630137,-78.98144947599437,-78.98144947599437,-78.98144947599437,-74.19387492949662,-74.19387492949662,-74.19387492949662,-79.60610564202187,-79.60610564202187,-79.60610564202187
-8.051383780487804,-34.950157945205476,-79.05854199349406,-79.05854199349406,-79.05854199349406,-73.69989915650103,-73.69989915650103,-73.69989915650103,-79.9119750200961,-79.9119750200961,-79.9119750200961
-8.051383780487804,-34.94995602739726,-79.14362890145046,-79.14362890145046,-79.14362890145046,-73.19005513365161,-73.19005513365161,-73.19005513365161,-80.2131978868546,-80.2131978868546,-80.2131978868546
-8.051383780487804,-34.949754109589044,-79.2364256189831,-79.2364256189831,-79.2364256189831,-72.6634015044277,-72.6634015044277,-72.6634015044277,-80.50983485830434,-80.50983485830434,-80.50983485830434
-8.051383780487804,-34.949552191780825,-79.33663053437658,-79.33663053437658,-79.33663053437658,-72.11892630233483,-72.11892630233483,-72.11892630233483,-80.80195299327505,-80.80195299327505,-80.80195299327505
-8.051383780487804,-34.949350273972605,-79.4439279405681,-79.4439279405681,-79.4439279405681,-71.55554313618686,-71.55554313618686,-71.55554313618686,-81.08962445364412,-81.08962445364412,-81.08962445364412
-8.051383780487804,-34.949148356164386,-79.5579909452637,-79.5579909452637,-79.5579909452637,-70.97208830525622,-70.97208830525622,-70.97208830525622,-81.37292536182267,-81.37292536182267,-81.37292536182267
-8.051383780487804,-34.948946438356174,-79.67848430863765,-79.67848430863765,-79.67848430863765,-70.36731953322804,-70.36731953322804,-70.36731953322804,-81.65193482912264,-81.65193482912264,-81.65193482912264
-8.051383780487804,-34.94874452054795,-79.80506716759572,-79.80506716759572,-79.80506716759572,-69.73991735195803,-69.73991735195803,-69.73991735195803,-81.92673413091637,-81.92673413091637,-81.92673413091637
-8.051383780487804,-34.94854260273973,-79.93739561233474,-79.93739561233474,-79.93739561233474,-69.08849067081246,-69.08849067081246,-69.08849067081246,-82.1974060083289,-82.1974060083289,-82.1974060083289
-8.051383780487804,-34.94834068493151,-80.07512508793005,-80.07512508793005,-80.07512508793005,-68.41158880956492,-68.41158880956492,-68.41158880956492,-82.46403407873868,-82.46403407873868,-82.46403407873868
-8.051383780487804,-34.94813876712329,-80.21791260025168,-80.21791260025168,-80.21791260025168,-67.70772337217088,-67.70772337217088,-67.70772337217088,-82.72670233978627,-82.72670233978627,-82.72670233978627
-8.051383780487804,-34.94793684931507,-80.36541871242659,-80.36541871242659,-80.36541871242659,-66.97540495411013,-66.97540495411013,-66.97540495411013,-82.9854947536615,-82.9854947536615,-82.9854947536615
-8.051383780487804,-34.94773493150685,-80.51730932401435,-80.51730932401435,-80.51730932401435,-66.21320205604451,-66.21320205604451,-66.21320205604451,-83.24049490030558,-83.24049490030558,-83.24049490030558
-8.051383780487804,-34.94753301369863,-80.67325723038934,-80.67325723038934,-80.67325723038934,-65.41983304844696,-65.41983304844696,-65.41983304844696,-83.49178568965377,-83.49178568965377,-83.49178568965377
-8.051383780487804,-34.94733109589041,-80.83294346490729,-80.83294346490729,-80.83294346490729,-64.5943070461852,-64.5943070461852,-64.5943070461852,-83.73944912461212,-83.73944912461212,-83.73944912461212
-8.051383780487804,-34.94712917808219,-80.9960584299794,-80.9960584299794,-80.9960584299794,-63.73613663271112,-63.73613663271112,-63.73613663271112,-83.98356610714237,-83.98356610714237,-83.98356610714237
-8.051383780487804,-34.94692726027397,-81.16230282689656,-81.16230282689656,-81.16230282689656,-62.84565499167479,-62.84565499167479,-62.84565499167479,-84.22421628161737,-84.22421628161737,-84.22421628161737
-8.051383780487804,-34.946725342465754,-81.33138839611786,-81.33138839611786,-81.33138839611786,-61.92448215476011,-61.92448215476011,-61.92448215476011,-84.4614779095848,-84.4614779095848,-84.4614779095848
-8.051383780487804,-34.94652342465753,-81.50303848222691,-81.50303848222691,-81.50303848222691,-60.97619819726938,-60.97619819726938,-60.97619819726938,-84.69542777169829,-84.69542777169829,-84.69542777169829
-8.051383780487804,-34.94632150684932,-81.67698843810126,-81.67698843810126,-81.67698843810126,-60.00728984866579,-60.00728984866579,-60.00728984866579,-84.92614109241777,-84.92614109241777,-84.92614109241777
-8.051383780487804,-34.946119589041096,-81.85298588444306,-81.85298588444306,-81.85298588444306,-59.02842713245714,-59.02842713245714,-59.02842713245714,-85.15369148445166,-85.15369148445166,-85.15369148445166
-8.051383780487804,-34.94591767123288,-82.03079083975234,-82.03079083975234,-82.03079083975234,-58.05606851644235,-58.05606851644235,-58.05606851644235,-85.37815090943107,-85.37815090943107,-85.37815090943107
-8.051383780487804,-34.94571575342466,-82.21017573700897,-82.21017573700897,-82.21017573700897,-57.11423431987343,-57.11423431987343,-57.11423431987343,-85.59958965296067,-85.59958965296067,-85.59958965296067
-8.051383780487804,-34.94551383561644,-82.39092534146567,-82.39092534146567,-82.39092534146567,-56.2359636722083,-56.2359636722083,-56.2359636722083,-85.8180763111115,-85.8180763111115,-85.8180763111115
