grupo,btsId,lat,lon,cch,azimuth,RssiId,Eirp
1,BTS_1_1,-8.04342,-34.952,873,0,rssi_1_1,55.59
1,BTS_1_2,-8.04342,-34.952,872,120,rssi_1_2,55.59
1,BTS_1_3,-8.04342,-34.952,875,240,rssi_1_3,55.59
2,BTS_2_1,-8.05289,-34.944672,865,0,rssi_2_1,55.59
2,BTS_2_2,-8.05289,-34.944672,874,120,rssi_2_2,55.59
2,BTS_2_3,-8.05289,-34.944672,871,240,rssi_2_3,55.59
3,BTS_3_1,-8.05532,-34.9579,877,0,rssi_3_1,55.59
3,BTS_3_2,-8.05532,-34.9579,881,120,rssi_3_2,55.59
3,BTS_3_3,-8.05532,-34.9579,869,240,rssi_3_3,55.59
