lat,lon,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3
-8.05955,-34.95985,-90.57988086791661,-90.57988086791661,-90.57988086791661,-89.3884410976869,-89.3884410976869,-89.3884410976869,-70.80360429026943,-70.80360429026943,-70.80360429026943
-8.05955,-34.959451621621625,-90.44038987243363,-90.44038987243363,-90.44038987243363,-89.06310041234894,-89.06310041234894,-89.06310041234894,-70.31900300953701,-70.31900300953701,-70.31900300953701
-8.05955,-34.959053243243254,-90.30566664566774,-90.30566664566774,-90.30566664566774,-88.73191573709732,-88.73191573709732,-88.73191573709732,-69.92143797799544,-69.92143797799544,-69.92143797799544
-8.05955,-34.95865486486487,-90.17602794657915,-90.17602794657915,-90.17602794657915,-88.39476238733408,-88.39476238733408,-88.39476238733408,-69.62742418284711,-69.62742418284711,-69.62742418284711
-8.05955,-34.95825648648649,-90.05179217332594,-90.05179217332594,-90.05179217332594,-88.05152164032157,-88.05152164032157,-88.05152164032157,-69.45058566220935,-69.45058566220935,-69.45058566220935
-8.05955,-34.95785810810811,-89.93327745292521,-89.93327745292521,-89.93327745292521,-87.70208294983144,-87.70208294983144,-87.70208294983144,-69.39974301384075,-69.39974301384075,-69.39974301384075
-8.05955,-34.95745972972973,-89.82079956168172,-89.82079956168172,-89.82079956168172,-87.34634661762749,-87.34634661762749,-87.34634661762749,-69.47752360172913,-69.47752360172913,-69.47752360172913
-8.05955,-34.95706135135136,-89.71466969248215,-89.71466969248215,-89.71466969248215,-86.98422700719001,-86.98422700719001,-86.98422700719001,-69.67992477353872,-69.67992477353872,-69.67992477353872
-8.05955,-34.95666297297298,-89.61519209062439,-89.61519209062439,-89.61519209062439,-86.61565639998977,-86.61565639998977,-86.61565639998977,-69.99697511339636,-69.99697511339636,-69.99697511339636
-8.05955,-34.9562645945946,-89.52266158561804,-89.52266158561804,-89.52266158561804,-86.2405896116893,-86.2405896116893,-86.2405896116893,-70.41427593194861,-70.41427593194861,-70.41427593194861
-8.05955,-34.95586621621621,-89.43736105158186,-89.43736105158186,-89.43736105158186,-85.85900950411818,-85.85900950411818,-85.85900950411818,-70.91495772258267,-70.91495772258267,-70.91495772258267
-8.05955,-34.95546783783784,-89.35955883423924,-89.35955883423924,-89.35955883423924,-85.47093355008533,-85.47093355008533,-85.47093355008533,-71.48156037430418,-71.48156037430418,-71.48156037430418
-8.05955,-34.95506945945946,-89.28950618673429,-89.28950618673429,-89.28950618673429,-85.07642162955608,-85.07642162955608,-85.07642162955608,-72.09750064723747,-72.09750064723747,-72.09750064723747
-8.05955,-34.95467108108108,-89.22743476011473,-89.22743476011473,-89.22743476011473,-84.67558525901754,-84.67558525901754,-84.67558525901754,-72.74800298212185,-72.74800298212185,-72.74800298212185
-8.05955,-34.954272702702696,-89.17355419659285,-89.17355419659285,-89.17355419659285,-84.26859847656726,-84.26859847656726,-84.26859847656726,-73.42053638268376,-73.42053638268376,-73.42053638268376
-8.05955,-34.953874324324325,-89.12804987462363,-89.12804987462363,-89.12804987462363,-83.85571062362635,-83.85571062362635,-83.85571062362635,-74.10488307646972,-74.10488307646972,-74.10488307646972
-8.05955,-34.95347594594595,-89.09108085418876,-89.09108085418876,-89.09108085418876,-83.43726127422559,-83.43726127422559,-83.43726127422559,-74.79297796324951,-74.79297796324951,-74.79297796324951
-8.05955,-34.953077567567576,-89.06277806837693,-89.06277806837693,-89.06277806837693,-83.01369756057011,-83.01369756057011,-83.01369756057011,-75.47863332798465,-75.47863332798465,-75.47863332798465
