lat,lon,rssi_1_1,rssi_2_1,rssi_3_1
-8.05955,-34.95985,-90.57988086791661,-89.3884410976869,-70.80360429026943
-8.05955,-34.959451621621625,-90.44038987243363,-89.06310041234894,-70.31900300953701
-8.05955,-34.959053243243254,-90.30566664566774,-88.73191573709732,-69.92143797799544
-8.05955,-34.95865486486487,-90.17602794657915,-88.39476238733408,-69.62742418284711
-8.05955,-34.95825648648649,-90.05179217332594,-88.05152164032157,-69.45058566220935
-8.05955,-34.95785810810811,-89.93327745292521,-87.70208294983144,-69.39974301384075
-8.05955,-34.95745972972973,-89.82079956168172,-87.34634661762749,-69.47752360172913
-8.05955,-34.95706135135136,-89.71466969248215,-86.98422700719001,-69.67992477353872
-8.05955,-34.95666297297298,-89.61519209062439,-86.61565639998977,-69.99697511339636
-8.05955,-34.9562645945946,-89.52266158561804,-86.2405896116893,-70.41427593194861
-8.05955,-34.95586621621621,-89.43736105158186,-85.85900950411818,-70.91495772258267
-8.05955,-34.95546783783784,-89.35955883423924,-85.47093355008533,-71.48156037430418
-8.05955,-34.95506945945946,-89.28950618673429,-85.07642162955608,-72.09750064723747
-8.05955,-34.95467108108108,-89.22743476011473,-84.67558525901754,-72.74800298212185
-8.05955,-34.954272702702696,-89.17355419659285,-84.26859847656726,-73.42053638268376
-8.05955,-34.953874324324325,-89.12804987462363,-83.85571062362635,-74.10488307646972
-8.05955,-34.95347594594595,-89.09108085418876,-83.43726127422559,-74.79297796324951
-8.05955,-34.953077567567576,-89.06277806837693,-83.01369756057011,-75.47863332798465
-8.05955,-34.95267918918919,-89.0432428032857,-82.58559411897608,-76.1572275838403
-8.05955,-34.95228081081081,-89.03254550262821,-82.15367582460487,-76.82540464222447
-8.05955,-34.951882432432434,-89.03072492634001,-81.7188433787392,-77.48080701228295
-8.05955,-34.951484054054056,-89.037787684107,-81.28220164216967,-78.1218508064606
-8.05955,-34.95108567567568,-89.05370815558652,-80.84509034691638,-78.74754245012741
-8.05955,-34.9506872972973,-89.0784287992881,-80.40911644086262,-79.35733284457115
-8.05955,-34.95028891891892,-89.11186084236081,-79.97618679978578,-79.95100325978711
-8.05955,-34.94989054054055,-89.15388533401764,-79.54853935909989,-80.52857714437431
-8.05955,-34.94949216216217,-89.2043545366144,-79.12876987242015,-81.09025260010159
-8.05955,-34.94909378378379,-89.26309362071524,-78.71985052860941,-81.63635106544376
-8.05955,-34.948695405405395,-89.32990262427421,-78.3251356412635,-82.16727856916339
-8.05955,-34.948297027027024,-89.40455863124936,-77.94834873280405,-82.68349665397164
-8.05955,-34.947898648648646,-89.48681812210512,-77.59354483238431,-83.18550069718992
-8.05955,-34.94750027027027,-89.57641944708573,-77.26504204887894,-83.67380386500085
-8.05955,-34.94710189189189,-89.67308537372111,-76.96731786884419,-84.14892534394164
-8.05955,-34.94670351351351,-89.77652566153085,-76.70486850961535,-84.61138181021667
-8.05955,-34.946305135135134,-89.88643962018469,-76.48203415014629,-85.06168134371592
-8.05955,-34.94590675675676,-90.00251861121615,-76.30279866405206,-85.50031918280521
-8.05955,-34.94550837837838,-90.1244484584517,-76.17057872527306,-85.92777486037738
-8.05922975609756,-34.95985,-90.34269526880308,-89.27583563650825,-69.86372625980545
-8.05922975609756,-34.959451621621625,-90.1985734995271,-88.94534536206396,-69.31030045412602
-8.05922975609756,-34.959053243243254,-90.05929052099918,-88.60867462459808,-68.85224426284287
-8.05922975609756,-34.95865486486487,-89.92518160887579,-88.26567142344084,-68.51099200141991
-8.05922975609756,-34.95825648648649,-89.79658450880083,-87.91618725690768,-68.30466169510896
-8.05922975609756,-34.95785810810811,-89.67383739299413,-87.56007913075962,-68.24518501447974
-8.05922975609756,-34.95745972972973,-89.5572766212114,-87.1972120180935,-68.33614591132255
-8.05922975609756,-34.95706135135136,-89.44723432262538,-86.82746186144325,-68.57208985810752
-8.05922975609756,-34.95666297297298,-89.34403582154752,-86.45071922472923,-68.93956754301638
-8.05922975609756,-34.9562645945946,-89.2479969366471,-86.06689372332676,-69.41951800574026
-8.05922975609756,-34.95586621621621,-89.1594211896815,-85.67591938288669,-69.99017553864117
-8.05922975609756,-34.95546783783784,-89.07859696594139,-85.27776110465786,-70.62969937463428
-8.05922975609756,-34.95506945945946,-89.00579467398958,-84.8724224435438,-71.3180522582441
-8.05922975609756,-34.95467108108108,-88.94126395668465,-84.4599549379623,-72.03803108056255
-8.05922975609756,-34.954272702702696,-88.88523100842625,-84.04046926285366,-72.77560051560084
-8.05922975609756,-34.953874324324325,-88.83789605499146,-83.61414851078621,-73.51976728471465
