lat,lon,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3
-8.05955,-34.95742698630137,-91.13770186335393,-99.26642236024851,-92.2767329192545,-99.92993478260871,-93.19178260869556,-96.54904347826094,-87.0925507246377,-77.21941366459629,-74.32517391304356
-8.05955,-34.957225068493145,-90.93936645962732,-99.27163975155285,-92.32623602484453,-100.5735144927537,-92.77021739130426,-95.64939130434789,-85.8488376811594,-76.52506583850929,-79.02610869565224
-8.05955,-34.957023150684925,-91.13550310559003,-99.2994161490683,-93.2455652173912,-100.59089855072473,-92.48028260869557,-95.11490683229813,-86.44062898550723,-74.31849689440993,-86.09895652173923
-8.05955,-34.95682123287671,-91.45700621118004,-99.15705590062102,-92.96040993788809,-100.44604347826103,-91.77167391304341,-95.00790062111793,-87.15930434782607,-73.22495652173913,-89.54052173913054
-8.05955,-34.95661931506849,-91.48091925465823,-99.08483229813652,-92.00571428571432,-100.45853623188422,-91.72273913043472,-95.13556521739127,-86.78059420289848,-72.4484695652174,-88.44721739130445
-8.05955,-34.956417397260275,-91.63590062111791,-99.0815403726707,-91.71963975155282,-100.38721739130453,-91.76517391304338,-96.21772670807454,-86.2918405797101,-71.25041739130432,-89.76634782608704
-8.05955,-34.956215479452055,-92.11909316770176,-99.00397515527933,-92.78080124223584,-100.19978260869591,-90.77797826086952,-94.31518012422356,-86.43423188405792,-69.2489217391304,-87.37534782608701
-8.05955,-34.956013561643836,-92.09126708074531,-98.89331677018619,-92.69159627329172,-99.61647826086987,-90.90706521739126,-93.82801242236022,-86.39897515527946,-70.99786782608686,-87.19104347826088
-8.05955,-34.955811643835624,-93.47416149068314,-98.73935403726699,-93.25038819875768,-98.89036231884069,-91.21334782608695,-93.54360248447205,-86.14038302277429,-69.03946086956518,-88.60646739130436
-8.05955,-34.9556097260274,-93.87032919254659,-98.31209937888198,-93.50655124223607,-98.38092753623181,-90.74180434782596,-92.75644099378883,-84.81983333333338,-70.37275652173909,-89.2595163043479
-8.05955,-34.95540780821918,-94.03081987577643,-98.06568944099384,-93.5372732919255,-99.0504347826086,-90.8777608695651,-92.92992546583854,-84.09650724637683,-69.29293913043473,-89.79442391304356
