lat,lon,rssi_1_1,rssi_2_1,rssi_3_1
-8.05955,-34.95985,-90.57988086791661,-89.3884410976869,-70.80360429026943
-8.05955,-34.959549183673474,-90.47412219092053,-89.14331114082682,-70.43030125566399
-8.05955,-34.959248367346945,-90.37103794504827,-88.89486679287774,-70.10420577647116
-8.05955,-34.958947551020415,-90.27076409669931,-88.6430535953607,-69.83271438306363
-8.05955,-34.95864673469388,-90.17343743245075,-88.38781871400789,-69.62260469955194
-8.05955,-34.95834591836735,-90.0791951167638,-88.1291114214225,-69.47953941307178
-8.05955,-34.95804510204082,-89.9881742166503,-87.86688365392831,-69.40759545846439
-8.05955,-34.95774428571429,-89.90051119488322,-87.60109065321569,-69.40889351227139
-8.05955,-34.957443469387755,-89.8163413739839,-87.33169170439467,-69.48339488566367
-8.05955,-34.957142653061226,-89.73579837370715,-87.05865098378871,-69.62890529328892
-8.05955,-34.956841836734704,-89.6590135253762,-86.78193853131509,-69.84128474899597
-8.05955,-34.956541020408174,-89.58611526705201,-86.5015313643195,-70.11482285910145
-8.05955,-34.95624020408164,-89.51722852406846,-86.21741475166763,-70.44271179117224
-8.05955,-34.9559393877551,-89.45247407999062,-85.92958366891699,-70.81754190774562
-8.05955,-34.95563857142857,-89.39196794360205,-85.63804445797655,-71.23175600993
-8.05955,-34.955337755102036,-89.33582071799935,-85.34281671664237,-71.67802000140209
-8.05955,-34.955036938775514,-89.28413697813963,-85.04393544629656,-72.14949182815732
-8.05955,-34.954736122448985,-89.23701466354322,-84.74145348786973,-72.63999029001562
-8.05955,-34.95443530612245,-89.19454449302984,-84.43544427874866,-73.14407789924508
-8.05955,-34.954134489795926,-89.15680940833644,-84.12600496476955,-73.65707755577759
-8.05955,-34.95383367346939,-89.12388405343825,-83.81325990254723,-74.17504321912679
-8.05955,-34.95353285714286,-89.09583429618877,-83.4973645879196,-74.69470214559803
-8.05955,-34.953232040816324,-89.07271679851601,-83.17851004413922,-75.21338241481021
-8.05955,-34.952931224489795,-89.05457864089195,-82.85692770097126,-75.72893555470569
-8.05955,-34.952630408163266,-89.04145700627774,-82.53289478889087,-76.23966070316865
-8.05955,-34.95232959183674,-89.0333789278931,-82.2067402633628,-76.74423412415743
-8.05955,-34.95202877551021,-89.03036110439203,-81.87885125896963,-77.24164601767995
-8.05955,-34.95172795918367,-89.03240978510266,-81.54968005259195,-77.73114530422583
-8.05955,-34.95142714285714,-89.03952072695355,-81.21975148627826,-78.21219228093415
-8.05955,-34.951126326530606,-89.0516792237162,-80.88967076231438,-78.68441860175386
-8.05955,-34.950825510204076,-89.06886020717093,-80.5601314747779,-79.1475938169113
-8.05955,-34.950524693877554,-89.09102841867585,-80.23192367998666,-79.60159763420168
-8.05955,-34.950223877551025,-89.11813864876683,-79.90594173419274,-80.04639707976992
-8.05955,-34.94992306122449,-89.15013604132224,-79.5831915386209,-80.48202779543408
-8.05955,-34.94962224489796,-89.1869564580602,-79.26479673192148,-80.9085787944376
-8.05955,-34.94932142857143,-89.22852689843083,-78.95200326193253,-81.32618008497434
-8.05955,-34.949020612244894,-89.27476596912373,-78.64618165928346,-81.73499265865385
-8.05955,-34.948719795918365,-89.32558439716485,-78.34882623502227,-82.13520041972996
-8.05955,-34.948418979591835,-89.38088557997983,-78.06155034911743,-82.52700370202999
-8.05955,-34.948118163265306,-89.4405661656852,-77.78607686656144,-82.91061408076126
-8.05955,-34.947817346938784,-89.50451665668848,-77.52422295558631,-83.2862502380531
-8.05955,-34.94751653061225,-89.57262202976028,-77.27787851520173,-83.65413468473488
-8.05955,-34.94721571428571,-89.64476236584142,-77.04897776909141,-84.01449117630156
-8.05955,-34.94691489795918,-89.72081348312253,-76.83946394392731,-84.36754269120411
-8.05955,-34.946614081632646,-89.80064756729612,-76.65124746421989,-84.7135098638588
-8.05955,-34.946313265306124,-89.88413379325152,-76.48615871696734,-85.05260978459734
-8.05955,-34.946012448979594,-89.97113893311041,-76.34589711907455,-85.38505509552394
-8.05955,-34.94571163265306,-90.06152794584071,-76.23197887901824,-85.71105332420004
-8.05955,-34.94541081632653,-90.1551645444847,-76.14568638208672,-86.03080640811791
-8.059311272727273,-34.95985,-90.40334660507631,-89.30413490961186,-70.1073958934056
-8.059311272727273,-34.959549183673474,-90.29499196900818,-89.05612202986646,-69.69585387619423
-8.059311272727273,-34.959248367346945,-90.18934022114789,-88.80465455627646,-69.33454864349991
-8.059311272727273,-34.958947551020415,-90.08653311982076,-88.54966958306898,-69.03238758762143
-8.059311272727273,-34.95864673469388,-89.98671345480122,-88.29110526269471,-68.79765797529917
-8.059311272727273,-34.95834591836735,-89.89002458374384,-88.02890125261084,-68.63737147438682
-8.059311272727273,-34.95804510204082,-89.7966099319506,-87.76299923530974,-68.55662400923242
-8.059311272727273,-34.95774428571429,-89.7066124571588,-87.49334352254223,-68.55808176137423
-8.059311272727273,-34.957443469387755,-89.62017408150402,-87.2198817559078,-68.64169599625352
-8.059311272727273,-34.957142653061226,-89.53743509354001,-86.94256571782722,-68.8047083756645
-8.059311272727273,-34.956841836734704,-89.45853352383821,-86.66135226863764,-69.04194557831269
-8.059311272727273,-34.956541020408174,-89.38360449836571,-86.37620442794147,-69.34633964312692
-8.059311272727273,-34.95624020408164,-89.31277957456206,-86.08709262047216,-69.70957048879947
-8.059311272727273,-34.9559393877551,-89.24618606552312,-85.79399610927197,-70.12272009835557
-8.059311272727273,-34.95563857142857,-89.18394635844672,-85.4969046419518,-70.57684955222915
-8.059311272727273,-34.955337755102036,-89.1261772338986,-85.19582033864737,-71.06344656580264
-8.059311272727273,-34.955036938775514,-89.07298919297412,-84.89075985355845,-71.57472771090039
-8.059311272727273,-34.954736122448985,-89.0244857996571,-84.58175684484505,-72.10380661502748
-8.059311272727273,-34.95443530612245,-88.98076304603816,-84.26886479141618,-72.64475428863037
-8.059311272727273,-34.954134489795926,-88.94190874795078,-83.95216019754375,-73.19258214258718
-8.059311272727273,-34.95383367346939,-88.90800197867165,-83.63174622880874,-73.7431759069166
-8.059311272727273,-34.95353285714286,-88.87911254803967,-83.30775682529838,-74.29320309038107
-8.059311272727273,-34.953232040816324,-88.85530053391295,-82.9803613372215,-74.84001033495619
-8.059311272727273,-34.952931224489795,-88.83661587251149,-82.64976972785254,-75.38152140076878
-8.059311272727273,-34.952630408163266,-88.82309801331533,-82.31623838364382,-75.91614211452142
-8.059311272727273,-34.95232959183674,-88.81477564351388,-81.98007656426171,-76.44267546836701
-8.059311272727273,-34.95202877551021,-88.81166648601626,-81.64165351159508,-76.96024798102664
-8.059311272727273,-34.95172795918367,-88.81377717397842,-81.3014062178652,-77.46824716902921
-8.059311272727273,-34.95142714285714,-88.82110320368761,-80.95984782444228,-77.9662692814394
-8.059311272727273,-34.951126326530606,-88.83362896656897,-80.6175765840913,-78.45407613144303
-8.059311272727273,-34.950825510204076,-88.85132785976558,-80.27528526767978,-78.93155976747076
-8.059311272727273,-34.950524693877554,-88.87416247369009,-79.93377082867403,-79.39871376911518
-8.059311272727273,-34.950223877551025,-88.90208485378565,-79.593944053907,-79.85561006089432
-8.059311272727273,-34.94992306122449,-88.93503683266846,-79.25683882582283,-80.3023802752275
-8.059311272727273,-34.94962224489796,-88.97295042786507,-78.9236204990089,-80.73920083520798
-8.059311272727273,-34.94932142857143,-89.01574829956323,-78.59559275664921,-81.16628106267981
-8.059311272727273,-34.949020612244894,-89.06334426200442,-78.27420216622701,-81.5838537344259
-8.059311272727273,-34.948719795918365,-89.11564384167119,-77.96103950976175,-81.99216761377531
-8.059311272727273,-34.948418979591835,-89.17254487491815,-77.65783684049777,-82.39148157088809
-8.059311272727273,-34.948118163265306,-89.23393813755723,-77.36645914005976,-82.78205997870992
-8.059311272727273,-34.947817346938784,-89.29970799870327,-77.08888944809843,-83.164169130788
-8.059311272727273,-34.94751653061225,-89.36973309127765,-76.82720644772715,-83.53807447660645
-8.059311272727273,-34.94721571428571,-89.44388699180044,-76.58355374873076,-83.90403850962488
-8.059311272727273,-34.94691489795918,-89.52203890229816,-76.36010054524732,-84.26231917556018
-8.059311272727273,-34.946614081632646,-89.60405432771361,-76.15899394511774,-84.61316869472677
-8.059311272727273,-34.946313265306124,-89.68979574254695,-75.98230405371791,-84.95683271266361
-8.059311272727273,-34.946012448979594,-89.77912324119129,-75.83196378788705,-85.29354971084817
-8.059311272727273,-34.94571163265306,-89.87189516692357,-75.70970629485177,-85.62355062223256
-8.059311272727273,-34.94541081632653,-89.96796871521795,-75.61700361894287,-85.94705860768349
-8.059072545454546,-34.95985,-90.22518787756354,-89.22197876884664,-69.38504684914813
-8.059072545454546,-34.959549183673474,-90.11414829700499,-88.97112330780888,-68.92955425363628
-8.059072545454546,-34.959248367346945,-90.00583913438962,-88.7166726268122,-68.52734096602984
-8.059072545454546,-34.958947551020415,-89.90040821007594,-88.45855513077802,-68.18919815498164
-8.059072545454546,-34.95864673469388,-89.79800461105475,-88.19669967648531,-67.9253462810362
-8.059072545454546,-34.95834591836735,-89.69877820543132,-87.93103597741785,-67.74456183427007
-8.059072545454546,-34.95804510204082,-89.60287911633793,-87.66149508022696,-67.65329495544027
-8.059072545454546,-34.95774428571429,-89.51045715686678,-87.38800992374667,-67.6549437799136
