lat,lon,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3
-8.05955,-34.95258095890411,-94.19213095238088,-91.39440476190461,-91.96230952380955,-96.25221825396812,-79.6477777777778,-84.2933333333334,-91.64566898148136,-80.8206342171717,-95.67029166666663
-8.05955,-34.95237904109589,-94.1127499999999,-91.18999999999986,-92.04338095238099,-96.26195039682531,-78.73829861111116,-84.42778571428582,-92.2116134259258,-81.13076616161614,-95.89775
-8.05955,-34.952177123287676,-93.97434523809521,-91.21994047619033,-92.14383333333332,-96.18685317460309,-77.60571527777793,-85.58721428571435,-92.16841898148137,-81.73303282828277,-96.07814583333325
-8.05955,-34.95197520547946,-95.3396071428571,-90.83791666666652,-92.72435714285724,-95.94588095238092,-80.14740277777791,-85.84826190476198,-92.18729398148136,-79.49838282828277,-96.15654166666666
-8.05955,-34.95177328767124,-96.09000992063484,-89.56635497835482,-92.21636984126987,-95.80171428571437,-80.27465694444457,-84.8248660714286,-91.95478240740728,-83.41963737373734,-96.08129166666657
-8.05955,-34.95157136986302,-96.38012003968241,-88.50105303030291,-92.11004999999994,-95.8860992063493,-80.03116111111125,-84.46439583333334,-91.64945370370359,-83.15594507575756,-95.98479166666667
-8.05955,-34.9513694520548,-94.99736706349196,-89.2452640692639,-91.70736269841264,-95.69644246031756,-79.78769166666676,-84.36143154761902,-91.48597453703688,-85.9378080808081,-95.98681250000001
-8.05955,-34.95116753424658,-92.30402380952381,-91.25625757575749,-91.50838174603167,-95.71484920634916,-79.08643055555555,-83.62424107142857,-91.61217592592585,-89.08976944444446,-95.9637708333334
-8.05955,-34.95096561643836,-91.93603373015874,-91.36094372294363,-91.53339603174594,-95.73762698412693,-79.4211986111111,-82.23878869047618,-91.05269212962953,-88.44436186868685,-95.94187500000005
-8.05955,-34.95076369863014,-91.68092658730161,-91.41011038961031,-91.49609444444437,-95.79158531746026,-79.12990694444443,-82.09009226190476,-91.8760810185184,-88.40414520202019,-95.93572916666672
-8.05955,-34.95056178082192,-91.47391468253971,-91.43113419913409,-91.46506269841261,-95.83350198412691,-78.89271249999999,-81.91394345238092,-92.01891435185175,-88.40519520202021,-95.92937500000006
-8.05955,-34.9503598630137,-91.447878968254,-91.43493181818172,-91.47464603174595,-95.82059920634914,-78.86487916666667,-81.89251488095236,-92.01808101851842,-88.41067020202021,-95.92625000000005
-8.05955,-34.950157945205476,-91.44258134920638,-91.44386038961031,-91.42357460317452,-95.83287698412691,-78.76400416666667,-81.94312202380951,-92.10763657407398,-88.49467020202022,-95.92625000000005
-8.05955,-34.94995602739726,-91.57634325396829,-91.45026515151507,-91.42701507936499,-95.83809920634914,-78.76400416666667,-82.20396726190475,-92.1844976851851,-88.65852020202023,-95.92625000000005
-8.05955,-34.949754109589044,-90.97980753968254,-91.45272943722935,-91.19530079365072,-95.76707142857136,-78.9178861111111,-82.0525744047619,-91.89513657407396,-88.40402853535355,-95.91687500000006
-8.05955,-34.949552191780825,-91.29150992063491,-91.4888841991341,-91.39009841269832,-95.65132142857138,-79.97792777777777,-82.31377678571427,-91.79569212962956,-88.02648686868686,-95.90437500000006
-8.05955,-34.949350273972605,-91.25267658730158,-91.35322943722934,-91.42357460317453,-95.49684920634917,-80.51140694444443,-81.48719345238094,-91.64321990740731,-88.25097020202021,-95.85750000000006
-8.05955,-34.949148356164386,-91.37571726190477,-91.20557251082242,-91.51513492063485,-95.64800198412692,-78.91574444444443,-81.55545238095237,-91.73032175925917,-88.85912247474747,-95.85750000000006
-8.05955,-34.948946438356174,-90.8060634920635,-91.16448376623369,-91.67333888888884,-95.39558134920627,-77.91419583333328,-82.1646726190476,-91.57069444444433,-89.14525517676768,-95.85750000000006
-8.05955,-34.94874452054795,-90.36800396825396,-90.69229437229431,-90.94416428571428,-95.27489880952372,-77.08732222222218,-83.09836011904754,-91.50173148148137,-90.8532284090909,-95.85750000000006
-8.05955,-34.94854260273973,-90.07320932539682,-90.54957359307355,-90.66359365079363,-95.21728571428562,-76.62419583333329,-82.30318749999992,-91.51123842592581,-90.83809027777777,-95.85750000000006
-8.05955,-34.94834068493151,-89.59576289682536,-90.35643506493503,-90.41401190476186,-95.10332142857136,-76.13322083333334,-81.35809523809515,-91.59740277777772,-90.70726830808076,-95.85750000000006
-8.05955,-34.94813876712329,-91.05514980158723,-89.6803409090908,-91.86963253968253,-95.01024603174601,-80.60427499999996,-79.19499107142855,-91.09913425925917,-91.9252402777777,-95.85750000000006
-8.05955,-34.94793684931507,-91.2252886904761,-89.60999134199125,-92.05949285714284,-94.94495436507935,-80.54816666666663,-78.31253869047617,-90.97136111111101,-91.94852815656557,-95.85750000000006
-8.05955,-34.94773493150685,-91.28507242063483,-89.55077489177481,-92.13305396825395,-94.91776388888887,-80.67717499999996,-78.23247321428569,-90.96543518518507,-92.06740454545447,-95.85750000000006
-8.05955,-34.94753301369863,-92.09021527777772,-88.98998593073587,-93.29844682539677,-94.93302777777777,-81.01564999999995,-78.84125892857143,-91.20552777777766,-92.05293636363632,-95.85750000000006
-8.05955,-34.94733109589041,-92.13055853174596,-88.91700974025967,-93.4638039682539,-94.96844444444443,-81.03161666666662,-78.8413244047619,-91.31782870370358,-92.03416969696966,-95.85750000000006
-8.05955,-34.94712917808219,-92.5088095238095,-89.1693116883116,-94.36308888888884,-95.30450000000006,-82.61093333333328,-77.58212202380955,-91.08751851851848,-91.0656681818181,-95.85750000000006
-8.05955,-34.94692726027397,-91.86852976190478,-88.2922705627704,-94.79563571428562,-96.05175000000006,-80.54795416666666,-77.95332440476206,-92.41233333333334,-91.14710606060595,-95.85750000000006
-8.05955,-34.946725342465754,-91.2941468253969,-87.14624567099551,-92.43992063492047,-95.80319444444442,-77.84766666666668,-74.96468154761911,-89.33311342592603,-90.40306363636348,-95.92652083333338
-8.05955,-34.94652342465753,-89.5206478174604,-84.64202272727269,-90.05816746031728,-91.190625,-72.95885833333337,-66.73371130952373,-89.1025000000001,-89.32142424242419,-96.13974999999999
-8.05955,-34.94632150684932,-91.41794047619065,-84.08590476190471,-91.95751190476176,-92.46775000000008,-75.19341666666668,-67.02663095238087,-90.30075000000004,-90.57727272727257,-95.85750000000006
-8.05955,-34.946119589041096,-92.91252380952388,-85.7894047619048,-93.07985714285708,-93.0680555555556,-84.56414583333331,-68.24323809523817,-90.25666666666672,-90.57727272727257,-95.85750000000006
-8.05955,-34.94591767123288,-92.91252380952388,-85.7894047619048,-93.07985714285708,-93.0680555555556,-84.56414583333331,-68.24323809523817,-90.25666666666672,-90.57727272727257,-95.85750000000006
-8.05955,-34.94571575342466,-92.91252380952388,-85.7894047619048,-93.07985714285708,-93.0680555555556,-84.56414583333331,-68.24323809523817,-90.25666666666672,-90.57727272727257,-95.85750000000006
