lat,lon,pontoId
-8.046460399999999,-34.95985,8998.0
-8.046460399999999,-34.95985,9361.0
-8.05955,-34.94516065292096,7693.0
-8.05955,-34.94516065292096,6959.0
-8.05955,-34.94516065292096,8456.0
-8.05955,-34.94516065292096,7570.0
-8.05955,-34.94516065292096,9198.0
-8.05955,-34.95985,7775.0
-8.05955,-34.9492635395189,6728.0
-8.046460399999999,-34.95985,8580.0
-8.046460399999999,-34.95985,9368.0
-8.05955,-34.94516065292096,8949.0
-8.046460399999999,-34.95985,8460.0
-8.046460399999999,-34.95985,7871.0
-8.0570048,-34.94516065292096,8146.0
-8.05955,-34.94516065292096,8087.0
-8.059469199999999,-34.94516065292096,8246.0
-8.046460399999999,-34.95985,7841.0
-8.046460399999999,-34.95985,9475.0
-8.05955,-34.94516065292096,9451.0
-8.05955,-34.94875701030928,7616.0
-8.046460399999999,-34.95985,9196.0
-8.046460399999999,-34.95985,9328.0
-8.05955,-34.94516065292096,8290.0
-8.046460399999999,-34.95985,8514.0
-8.0471068,-34.95985,7249.0
-8.05955,-34.95985,7401.0
-8.058742,-34.94516065292096,8057.0
-8.05955,-34.95985,6943.0
-8.05955,-34.95985,6965.0
-8.046460399999999,-34.94516065292096,9246.0
-8.046460399999999,-34.95985,9652.0
-8.047389599999999,-34.94516065292096,7184.0
-8.056116000000001,-34.94516065292096,8025.0
-8.0583784,-34.94516065292096,8082.0
-8.05955,-34.94516065292096,9342.0
-8.046460399999999,-34.95985,7399.0
-8.05955,-34.94516065292096,7913.0
-8.046460399999999,-34.95985,9325.0
-8.05955,-34.94516065292096,9373.0
-8.046460399999999,-34.95985,8973.0
-8.046460399999999,-34.95985,7186.0
-8.05955,-34.95985,6866.0
-8.05955,-34.94516065292096,7655.0
-8.05955,-34.94516065292096,8598.0
-8.046460399999999,-34.95985,9427.0
-8.05955,-34.94516065292096,8277.0
-8.05955,-34.94516065292096,8258.0
-8.05955,-34.94516065292096,6895.0
-8.05955,-34.951492268041235,7358.0
-8.05955,-34.94516065292096,9061.0
-8.05955,-34.94516065292096,8609.0
-8.05955,-34.94516065292096,7659.0
-8.046460399999999,-34.94516065292096,9264.0
-8.05955,-34.94516065292096,6716.0
-8.05955,-34.94516065292096,9158.0
-8.046460399999999,-34.95985,8984.0
-8.05955,-34.94516065292096,6816.0
-8.05955,-34.94951680412371,9579.0
-8.05955,-34.94516065292096,9181.0
-8.05955,-34.94516065292096,7546.0
-8.05955,-34.94516065292096,7427.0
-8.05955,-34.94516065292096,7661.0
-8.058944,-34.94516065292096,7689.0
-8.05955,-34.95985,6991.0
