1,2,3,4,5,6,7,8
12.13,1261.12,12.13,55.37,572.4,75.79,162.63,1054.98
103.56,89.41,103.56,50.66,519.56,80.7,182.02,1289.54
11.54,778.18,11.54,17.36,439.16,43.77,78.63,705.7
2.47,639.13,2.47,12.71,288.05,3.22,3.22,941.34
8.05,685.43,8.05,13.68,346.42,18.1,18.1,700.5
3.12,1056.18,3.12,40.37,724.43,3.08,3.08,1260.04
18.77,978.28,18.77,23.48,801.53,8.43,8.43,756.23
26.07,849.76,26.07,18.71,447.58,33.69,89.64,803.19
27.27,659.06,27.27,72.16,232.91,59.69,31.1,1311.07
25.53,1356.75,25.53,54.58,115.47,43.82,43.82,1259.47
328.55,760.4,328.55,89.06,480.28,201.38,45.66,905.05
45.59,91.31,45.59,25.21,546.97,25.54,74.18,466.34
2.47,199.51,2.47,10.5,955.41,19.55,31.13,388.49
10.01,728.52,10.01,35.02,794.86,42.76,42.76,555.15
53.32,962.47,53.32,18.38,460.79,55.49,55.49,32.94
28.14,820.67,28.14,6.02,434.35,71.89,4.98,229.08
54.17,787.69,54.17,60.07,384.79,55.25,108.54,1043.38
458.76,1465.69,458.76,11.81,630.37,386.9,386.9,1272.98
32.2,501.06,32.2,77.58,160.93,15.35,31.54,599.55
12.33,632.1,12.33,45.9,111.43,99.2,39.27,400.82
5.64,980.3,5.64,6.14,459.06,8.74,8.74,55.48
12.91,1038.89,12.91,34.6,383.06,92.34,17.42,996.37
23.38,565.71,23.38,18.25,740.65,112.76,53.46,587.0
7.82,1044.8,7.82,126.07,663.29,119.41,51.08,570.33
45.34,560.71,45.34,23.91,625.91,47.16,29.46,1208.34
4.56,691.3,4.56,36.68,383.32,31.79,31.79,492.19
29.38,579.74,29.38,145.99,460.14,34.15,34.15,1314.44
10.49,227.58,10.49,57.13,453.42,14.41,14.41,1336.29
7.07,670.55,7.07,2.43,398.62,104.42,10.63,1101.75
28.74,752.33,28.74,27.71,677.54,26.04,26.04,665.64
4.56,952.55,4.56,64.67,258.43,10.73,10.73,1320.0
29.67,1277.54,29.67,36.26,431.59,4.68,4.68,559.93
286.94,1315.42,286.94,52.34,496.41,25.7,25.7,570.49
17.77,948.27,17.77,15.71,212.56,23.69,10.91,593.22
47.43,431.96,47.43,32.81,620.06,9.16,9.16,268.1
36.65,1022.52,36.65,12.38,745.21,168.24,168.24,1230.44
5.64,680.63,5.64,40.92,839.34,119.3,119.3,807.93
163.89,626.04,163.89,27.0,442.38,157.34,157.34,814.18
254.42,764.12,254.42,2.21,455.95,259.85,259.85,505.56
17.83,1084.25,17.83,38.29,274.65,60.41,41.67,517.25
4.56,1024.01,4.56,0.89,825.97,73.79,54.45,534.34
229.54,648.57,229.54,22.73,494.46,179.1,196.7,653.35
